2023-01-23 00:21:28.514 [ DEBUG | com.servlet.ejournal.pools.PageAccessPool | PageAccessPool ] - Access commands initialized successful
2023-01-23 00:21:28.560 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 00:21:28.561 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Command is null
2023-01-23 00:21:31.511 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 00:21:31.512 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Command is null
2023-01-23 00:21:33.760 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 00:21:33.761 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Command is null
2023-01-23 00:21:35.921 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 00:21:35.925 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to command granted
2023-01-23 00:21:35.963 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Initialization of CommandPool successful
2023-01-23 00:21:35.963 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Command login acquired successful
2023-01-23 00:21:36.008 [ FATAL | com.servlet.ejournal.model.dao.HikariConnectionPool | HikariConnectionPool ] - Can't configure connection pool!
2023-01-23 00:22:08.165 [ DEBUG | com.servlet.ejournal.pools.PageAccessPool | PageAccessPool ] - Access commands initialized successful
2023-01-23 00:22:08.177 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 00:22:08.177 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Command is null
2023-01-23 00:22:09.598 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 00:22:09.599 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Command is null
2023-01-23 00:22:10.871 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 00:22:10.872 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Command is null
2023-01-23 00:22:12.852 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 00:22:12.860 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to command granted
2023-01-23 00:22:12.907 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Initialization of CommandPool successful
2023-01-23 00:22:12.908 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Command login acquired successful
2023-01-23 00:22:12.956 [ FATAL | com.servlet.ejournal.model.dao.HikariConnectionPool | HikariConnectionPool ] - Can't configure connection pool!
2023-01-23 00:23:00.739 [ DEBUG | com.servlet.ejournal.pools.PageAccessPool | PageAccessPool ] - Access commands initialized successful
2023-01-23 00:23:00.753 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 00:23:00.753 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Command is null
2023-01-23 00:23:02.118 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 00:23:02.119 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Command is null
2023-01-23 00:23:03.466 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 00:23:03.467 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Command is null
2023-01-23 00:23:05.333 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 00:23:05.346 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to command granted
2023-01-23 00:23:05.408 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Initialization of CommandPool successful
2023-01-23 00:23:05.409 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Command login acquired successful
2023-01-23 00:23:05.467 [ FATAL | com.servlet.ejournal.model.dao.HikariConnectionPool | HikariConnectionPool ] - Can't configure connection pool!
2023-01-23 00:23:32.337 [ DEBUG | com.servlet.ejournal.pools.PageAccessPool | PageAccessPool ] - Access commands initialized successful
2023-01-23 00:23:32.350 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 00:23:32.350 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Command is null
2023-01-23 00:23:33.837 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 00:23:33.840 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Command is null
2023-01-23 00:23:35.025 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 00:23:35.025 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Command is null
2023-01-23 00:23:37.209 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 00:23:37.217 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to command granted
2023-01-23 00:23:37.258 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Initialization of CommandPool successful
2023-01-23 00:23:37.259 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Command login acquired successful
2023-01-23 00:23:38.063 [ INFO | com.servlet.ejournal.services.impl.UserServiceImpl | UserServiceImpl ] - User admin@gmail.com logged in successful!
2023-01-23 00:23:38.083 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 00:23:38.084 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Command is null
2023-01-23 00:23:41.279 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 00:23:41.280 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to command granted
2023-01-23 00:23:41.280 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Command get-all-courses acquired successful
2023-01-23 00:23:41.302 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where final_mark = '-1' and 
2023-01-23 00:23:41.322 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where final_mark = '-1' and 
2023-01-23 00:23:41.325 [ INFO | com.servlet.ejournal.model.dao.impl.CourseDAO | CourseDAO ] - course dao query HikariProxyPreparedStatement@717542965 wrapping select * from (epam.user_course natural join epam.course natural join epam.topic_course natural join epam.teacher_course) where final_mark = '-1' order by c_id limit 5 offset 0
2023-01-23 00:23:41.356 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where c_id = 18 and 
2023-01-23 00:23:41.364 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where user_type = 'TEACHER' and 
2023-01-23 00:23:41.372 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where c_id = 19 and 
2023-01-23 00:23:41.374 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where user_type = 'TEACHER' and 
2023-01-23 00:23:41.377 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where c_id = 20 and 
2023-01-23 00:23:41.379 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where user_type = 'TEACHER' and 
2023-01-23 00:23:41.383 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where c_id = 21 and 
2023-01-23 00:23:41.385 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where user_type = 'TEACHER' and 
2023-01-23 00:23:41.388 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where c_id = 22 and 
2023-01-23 00:23:41.389 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where user_type = 'TEACHER' and 
2023-01-23 00:23:41.392 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where user_type = 'TEACHER' and 
2023-01-23 00:23:42.212 [ ERROR | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Unauthorized access to command change-locale by admin@gmail.com
2023-01-23 00:23:43.425 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to page granted
2023-01-23 00:23:43.426 [ DEBUG | com.servlet.ejournal.controller.filters.AccessFilter | AccessFilter ] - Access to command granted
2023-01-23 00:23:43.426 [ DEBUG | com.servlet.ejournal.controller.commands.CommandPool | CommandPool ] - Command get-all-courses acquired successful
2023-01-23 00:23:43.426 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where final_mark = '-1' and 
2023-01-23 00:23:43.427 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where final_mark = '-1' and 
2023-01-23 00:23:43.428 [ INFO | com.servlet.ejournal.model.dao.impl.CourseDAO | CourseDAO ] - course dao query HikariProxyPreparedStatement@1040158243 wrapping select * from (epam.user_course natural join epam.course natural join epam.topic_course natural join epam.teacher_course) where final_mark = '-1' order by c_id limit 5 offset 0
2023-01-23 00:23:43.439 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where c_id = 18 and 
2023-01-23 00:23:43.441 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where user_type = 'TEACHER' and 
2023-01-23 00:23:43.445 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where c_id = 19 and 
2023-01-23 00:23:43.447 [ INFO | com.servlet.ejournal.utils.SqlUtil | SqlUtil ] - where user_type = 'TEACHER' and 
